Id,Title,Release Date,Old Price,Discount,New Price,Platforms,Positive Ratings,Reviews Count,IMAGE
29,Planet Zoo,"5 Nov, 2019",43.99,75,10.99,['win'],90,48181,https://cdn.cloudflare.steamstatic.com/steam/apps/703080/capsule_sm_120.jpg?t=1649934824
30,CODE VEIN,"26 Sep, 2019",29.99,80,5.99,['win'],86,29797,https://cdn.cloudflare.steamstatic.com/steam/apps/678960/capsule_sm_120.jpg?t=1630386872
31,Assetto Corsa,"19 Dec, 2014",10.49,80,2.09,['win'],91,51772,https://cdn.cloudflare.steamstatic.com/steam/apps/244210/capsule_sm_120.jpg?t=1651677274
32,MONSTER HUNTER RISE,"12 Jan, 2022",59.99,0,59.99,['win'],87,19982,https://cdn.cloudflare.steamstatic.com/steam/apps/1446780/capsule_sm_120.jpg?t=1652718794
33,Sea of Thieves,"3 Jun, 2020",18.49,0,18.49,['win'],90,188169,https://cdn.cloudflare.steamstatic.com/steam/apps/1172620/capsule_sm_120.jpg?t=1653607222
34,Stellaris,"9 May, 2016",26.99,0,26.99,"['win', 'mac', 'linux']",87,92192,https://cdn.cloudflare.steamstatic.com/steam/apps/281990/capsule_sm_120.jpg?t=1652979714
35,Dota 2,"9 Jul, 2013",Free to Play,0,Free to Play,"['win', 'mac', 'linux']",83,1743847,https://cdn.cloudflare.steamstatic.com/steam/apps/570/capsule_sm_120.jpg?t=1650611880
36,Forza Horizon 5,"8 Nov, 2021",34.78,0,34.78,['win'],87,68656,https://cdn.cloudflare.steamstatic.com/steam/apps/1551360/capsule_sm_120.jpg?t=1653573744
37,Path of Exile,"23 Oct, 2013",Free to Play,0,Free to Play,"['win', 'mac']",90,181948,https://cdn.cloudflare.steamstatic.com/steam/apps/238960/capsule_sm_120.jpg?t=1652469162
38,The Sims™ 4,"18 Jun, 2020",19.99,0,19.99,['win'],87,48235,https://cdn.cloudflare.steamstatic.com/steam/apps/1222670/capsule_sm_120.jpg?t=1653584529
39,Divinity: Original Sin 2 - Definitive Edition,"14 Sep, 2017",24.99,60,9.99,"['win', 'mac']",95,125627,https://cdn.cloudflare.steamstatic.com/steam/apps/435150/capsule_sm_120.jpg?t=1631177562
40,Keplerth,"23 May, 2022",8.49,25,6.36,['win'],89,1502,https://cdn.cloudflare.steamstatic.com/steam/apps/747200/capsule_sm_120.jpg?t=1653400328
41,Phasmophobia,"18 Sep, 2020",7.99,0,7.99,['win'],97,352343,https://cdn.cloudflare.steamstatic.com/steam/apps/739630/capsule_sm_120.jpg?t=1638041534
42,Stardew Valley,"26 Feb, 2016",9.99,0,9.99,"['win', 'mac', 'linux']",98,391579,https://cdn.cloudflare.steamstatic.com/steam/apps/413150/capsule_sm_120.jpg?t=1608624324
43,ARK: Survival Evolved,"27 Aug, 2017",14.49,0,14.49,"['win', 'mac', 'linux']",82,420481,https://cdn.cloudflare.steamstatic.com/steam/apps/346110/capsule_sm_120.jpg?t=1649288168
44,DRAGON BALL FighterZ,"26 Jan, 2018",49.99,85,7.49,['win'],90,36381,https://cdn.cloudflare.steamstatic.com/steam/apps/678950/capsule_sm_120.jpg?t=1645664524
45,Team Fortress 2,"10 Oct, 2007",Free to Play,0,Free to Play,"['win', 'mac', 'linux']",93,867556,https://cdn.cloudflare.steamstatic.com/steam/apps/440/capsule_sm_120.jpg?t=1592263852
46,SMITE®,"8 Sep, 2015",Free to Play,0,Free to Play,['win'],80,99436,https://cdn.cloudflare.steamstatic.com/steam/apps/386360/capsule_sm_120.jpg?t=1653626161
47,PAYDAY 2,"13 Aug, 2013",6.99,50,3.49,"['win', 'linux']",89,368182,https://cdn.cloudflare.steamstatic.com/steam/apps/218620/capsule_sm_120.jpg?t=1653004245
48,ACE COMBAT™ 7: SKIES UNKNOWN,"31 Jan, 2019",29.99,80,5.99,['win'],86,19597,https://cdn.cloudflare.steamstatic.com/steam/apps/502500/capsule_sm_120.jpg?t=1653601579
49,Human: Fall Flat,"22 Jul, 2016",10.49,66,3.56,"['win', 'mac']",94,125084,https://cdn.cloudflare.steamstatic.com/steam/apps/477160/capsule_sm_120_alt_assets_9.jpg?t=1653631176
50,NBA 2K22,"9 Sep, 2021",44.99,0,44.99,['win'],55,21071,https://cdn.cloudflare.steamstatic.com/steam/apps/1644960/capsule_sm_120.jpg?t=1653059048
